shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237155.032237155,49.2375428,7.0561765,2
237155.032237155,49.2547174,7.0403373,3
237155.032237155,49.276422,7.0329183,4
237155.033237155,49.2270846,7.0207438,0
237155.033237155,49.2257493,7.0355784,1
237155.033237155,49.2375428,7.0561765,2
237155.033237155,49.2547174,7.0403373,3
237155.033237155,49.276422,7.0329183,4
237155.034237155,49.2270846,7.0207438,0
237155.034237155,49.2257493,7.0355784,1
237155.034237155,49.2375428,7.0561765,2
237155.034237155,49.2547174,7.0403373,3
237155.034237155,49.276422,7.0329183,4
237155.035237155,49.2270846,7.0207438,0
237155.035237155,49.2257493,7.0355784,1
237155.035237155,49.2375428,7.0561765,2
237155.035237155,49.2547174,7.0403373,3
237155.035237155,49.276422,7.0329183,4
237155.036237155,49.2270846,7.0207438,0
237155.036237155,49.2257493,7.0355784,1
237155.036237155,49.2375428,7.0561765,2
237155.036237155,49.2547174,7.0403373,3
237155.036237155,49.276422,7.0329183,4
237155.037237155,49.2270846,7.0207438,0
237155.037237155,49.2257493,7.0355784,1
237155.037237155,49.2375428,7.0561765,2
237155.037237155,49.2547174,7.0403373,3
237155.037237155,49.276422,7.0329183,4
237155.038237155,49.2270846,7.0207438,0
237155.038237155,49.2257493,7.0355784,1
237155.038237155,49.2375428,7.0561765,2
237155.038237155,49.2547174,7.0403373,3
237155.038237155,49.276422,7.0329183,4
237155.039237155,49.2270846,7.0207438,0
237155.039237155,49.2257493,7.0355784,1
237155.039237155,49.2375428,7.0561765,2
237155.039237155,49.2547174,7.0403373,3
237155.039237155,49.276422,7.0329183,4
237155.040237155,49.2270846,7.0207438,0
237155.040237155,49.2257493,7.0355784,1
237155.040237155,49.2375428,7.0561765,2
237155.040237155,49.2547174,7.0403373,3
237155.040237155,49.276422,7.0329183,4
237155.041237155,49.2270846,7.0207438,0
237155.041237155,49.2257493,7.0355784,1
237155.041237155,49.2375428,7.0561765,2
237155.041237155,49.2547174,7.0403373,3
237155.041237155,49.276422,7.0329183,4
237155.042237155,49.2270846,7.0207438,0
237155.042237155,49.2257493,7.0355784,1
237155.042237155,49.2375428,7.0561765,2
237155.042237155,49.2547174,7.0403373,3
237155.042237155,49.276422,7.0329183,4
237155.043237155,49.2270846,7.0207438,0
237155.043237155,49.2257493,7.0355784,1
237155.043237155,49.2375428,7.0561765,2
237155.043237155,49.2547174,7.0403373,3
237155.043237155,49.276422,7.0329183,4
237155.044237155,49.2270846,7.0207438,0
237155.044237155,49.2257493,7.0355784,1
237155.044237155,49.2375428,7.0561765,2
237155.044237155,49.2547174,7.0403373,3
237155.044237155,49.276422,7.0329183,4
237155.045237155,49.2270846,7.0207438,0
237155.045237155,49.2257493,7.0355784,1
237155.045237155,49.2375428,7.0561765,2
237155.045237155,49.2547174,7.0403373,3
237155.045237155,49.276422,7.0329183,4
237155.046237155,49.2270846,7.0207438,0
237155.046237155,49.2257493,7.0355784,1
237155.046237155,49.2375428,7.0561765,2
237155.046237155,49.2547174,7.0403373,3
237155.046237155,49.276422,7.0329183,4
237155.047237155,49.2270846,7.0207438,0
237155.047237155,49.2257493,7.0355784,1
237155.047237155,49.2375428,7.0561765,2
237155.047237155,49.2547174,7.0403373,3
237155.047237155,49.276422,7.0329183,4
237155.048237155,49.2270846,7.0207438,0
237155.048237155,49.2257493,7.0355784,1
237155.048237155,49.2375428,7.0561765,2
237155.048237155,49.2547174,7.0403373,3
237155.048237155,49.276422,7.0329183,4
237155.049237155,49.2270846,7.0207438,0
237155.049237155,49.2257493,7.0355784,1
237155.049237155,49.2375428,7.0561765,2
237155.049237155,49.2547174,7.0403373,3
237155.049237155,49.276422,7.0329183,4
237155.050237155,49.2270846,7.0207438,0
237155.050237155,49.2257493,7.0355784,1
237155.050237155,49.2375428,7.0561765,2
237155.050237155,49.2547174,7.0403373,3
237155.050237155,49.276422,7.0329183,4
237155.051237155,49.2270846,7.0207438,0
237155.051237155,49.2257493,7.0355784,1
237155.051237155,49.2375428,7.0561765,2
237155.051237155,49.2547174,7.0403373,3
237155.051237155,49.276422,7.0329183,4
237155.052237155,49.2270846,7.0207438,0
237155.052237155,49.2257493,7.0355784,1
237155.052237155,49.2375428,7.0561765,2
237155.052237155,49.2547174,7.0403373,3
237155.052237155,49.276422,7.0329183,4
237155.053237155,49.2270846,7.0207438,0
237155.053237155,49.2257493,7.0355784,1
237155.053237155,49.2375428,7.0561765,2
237155.053237155,49.2547174,7.0403373,3
237155.053237155,49.276422,7.0329183,4
237155.054237155,49.2270846,7.0207438,0
237155.054237155,49.2257493,7.0355784,1
237155.054237155,49.2375428,7.0561765,2
237155.054237155,49.2547174,7.0403373,3
237155.054237155,49.276422,7.0329183,4
237155.11237155,49.2270846,7.0207438,0
237155.11237155,49.2257493,7.0355784,1
237155.11237155,49.2375428,7.0561765,2
237155.11237155,49.2547174,7.0403373,3
237155.11237155,49.276422,7.0329183,4
